id,perfil,area_interesse,nivel_atual,curso_recomendado,duracao_horas,custo,modalidade,score_relevancia
37,tradicional,portaria,iniciante,Atendimento e Recepcao,30,250,presencial,80.4
38,tech_avancado,blockchain,avancado,Smart Contracts Development,95,2250,online,95.3
39,digital_intermediario,controladoria,intermediario,Controladoria Digital,70,1300,online,88.7
40,digital_intermediario,crm,intermediario,Customer Success Management,60,1050,hibrido,87.9
41,tradicional,comercio,iniciante,Varejo Moderno,45,350,presencial,82.3
42,tech_avancado,data_science,avancado,Advanced Statistics for DS,100,2400,online,96.5
43,digital_intermediario,compliance,intermediario,GRC e Compliance Digital,65,1200,online,89.3
44,tech_avancado,frontend,avancado,Micro Frontends,75,1750,online,92.8
45,tradicional,servicos_gerais,iniciante,Gestao de Facilities,35,280,presencial,81.1
46,tech_avancado,backend,avancado,Microservices Architecture,110,2500,online,95.9
47,digital_intermediario,auditoria,intermediario,Auditoria de TI,70,1400,online,88.5
48,digital_intermediario,seo,intermediario,SEO Tecnico Avancado,55,1000,online,87.6
49,tradicional,montagem,iniciante,Automacao na Producao,50,450,presencial,83.7
50,tech_avancado,devops,avancado,Kubernetes e Containers,105,2350,online,96.1
51,tech_avancado,bi,avancado,Power BI e Tableau Avancado,80,1800,online,93.7
52,tradicional,vigilancia,iniciante,Seguranca Eletronica,40,320,presencial,82.1
53,tech_avancado,inovacao,avancado,Design Thinking Digital,85,1950,online,94.5
54,digital_intermediario,planejamento,intermediario,OKRs e Gestao de Metas,55,950,hibrido,88.2
55,tech_avancado,cybersecurity,avancado,Ethical Hacking,115,2700,online,96.7
56,tradicional,motorista,iniciante,Direcao Defensiva Digital,30,280,presencial,80.8
57,tech_avancado,growth,avancado,Growth Hacking Avancado,70,1650,online,92.4
58,digital_intermediario,processos,intermediario,BPM e Automacao de Processos,75,1350,online,89.1
59,tech_avancado,infraestrutura,avancado,Site Reliability Engineering,100,2300,online,95.2
60,tradicional,alimentacao,iniciante,Gestao de Cozinha Industrial,40,300,presencial,81.9
61,tech_avancado,machine_learning,avancado,Natural Language Processing,120,2650,online,97.3
62,digital_intermediario,pricing,intermediario,Revenue Management,65,1150,online,88.6
63,tradicional,portaria,iniciante,Controle de Acesso Digital,35,270,presencial,80.6
64,tech_avancado,quality_assurance,avancado,Test Automation,90,2000,online,93.9
65,digital_intermediario,trade_marketing,intermediario,Trade Marketing Digital,60,1100,hibrido,87.5
66,tradicional,manutencao_predial,iniciante,Gestao Predial,40,300,presencial,81.7
67,tech_avancado,integracao,avancado,Enterprise Integration Patterns,95,2200,online,94.7
68,digital_intermediario,fusoes,intermediario,M&A Analytics,80,1600,online,90.3
69,digital_intermediario,performance,intermediario,Web Performance Optimization,55,950,online,87.3
70,tradicional,entrega,iniciante,Logistica de Ultima Milha,35,290,presencial,80.9
71,tech_avancado,iot,avancado,IoT e Edge Computing,105,2400,online,96.4
72,digital_intermediario,categoria,intermediario,Category Management,70,1250,hibrido,88.8
73,tradicional,coleta,iniciante,Gestao de Residuos,30,250,presencial,79.8
74,tech_avancado,robotica,avancado,Robotics Process Automation,110,2550,online,97.5
75,digital_intermediario,merchandising,intermediario,Visual Merchandising Digital,60,1050,online,87.1
76,tech_avancado,fullstack,avancado,Full Stack MERN/MEAN,100,2300,online,94.9
77,tradicional,operacao,iniciante,Operacao de Equipamentos,45,350,presencial,82.5
78,tech_avancado,api,avancado,API Design e GraphQL,85,1900,online,93.5
79,digital_intermediario,investimentos,intermediario,Analise de Investimentos,75,1400,online,89.5
80,tech_avancado,automacao,avancado,Python Automation,80,1800,online,92.9
81,tradicional,jardinagem,iniciante,Paisagismo Urbano,35,280,presencial,80.2
82,tech_avancado,nlp,avancado,Transformers e BERT,115,2600,online,97.2
83,digital_intermediario,franquias,intermediario,Gestao de Franquias,65,1200,hibrido,88.3
84,tech_avancado,data_pipeline,avancado,Data Engineering Spark,105,2450,online,95.8
85,tradicional,administracao_predial,iniciante,Administracao de Condominios,40,320,presencial,81.4
86,tech_avancado,quantum,avancado,Quantum Computing,130,3000,online,98.1
87,digital_intermediario,expansao,intermediario,Estrategia de Expansao,70,1300,online,89.4
88,tech_avancado,plataforma,avancado,Platform Engineering,110,2500,online,96.3
89,tradicional,auxiliar,iniciante,Multifuncional em Servicos,30,250,presencial,79.5
90,tech_avancado,realidade_virtual,avancado,Unity e Unreal Engine,100,2350,online,94.6
91,digital_intermediario,omnichannel,intermediario,Omnichannel Strategy,75,1350,hibrido,89.9
92,tradicional,ascensorista,iniciante,Operacao de Elevadores,25,220,presencial,78.9
93,tech_avancado,edge_computing,avancado,Edge AI e 5G,115,2650,online,96.9
94,digital_intermediario,comercio_exterior,intermediario,Comercio Internacional Digital,70,1250,online,88.4
95,tech_avancado,microservicos,avancado,Service Mesh e Istio,105,2400,online,95.6
96,tradicional,copa,iniciante,Servicos de Copa,28,230,presencial,78.2
97,tech_avancado,observabilidade,avancado,Observability Engineering,95,2200,online,94.3
98,digital_intermediario,private_equity,intermediario,Private Equity Analytics,85,1700,online,90.8
99,tech_avancado,sre,avancado,Chaos Engineering,120,2750,online,97.6
100,tradicional,almoxarifado,iniciante,Gestao de Almoxarifado Digital,45,380,presencial,82.8
