id,idade,escolaridade,anos_experiencia,area_atuacao,habilidades_digitais,renda_mensal,setor_industria,perfil
52,50,medio,24,vigilancia,3,3300,servicos,tradicional
53,32,pos_graduacao,8,inovacao,8,7600,tecnologia,tech_avancado
54,42,superior,14,planejamento,6,7200,servicos,digital_intermediario
55,28,superior,4,security,9,5800,tecnologia,tech_avancado
56,46,medio,22,motorista,2,3000,transporte,tradicional
57,35,superior,9,growth,8,6400,tecnologia,tech_avancado
58,51,superior,20,processos,5,6700,industria,digital_intermediario
59,30,superior,6,infra,9,5500,tecnologia,tech_avancado
60,44,fundamental,21,cozinha,2,2800,servicos,tradicional
61,33,pos_graduacao,8,ml,10,8100,tecnologia,tech_avancado
62,39,superior,12,pricing,6,6300,comercio,digital_intermediario
63,48,medio,23,portaria,3,2900,servicos,tradicional
64,27,superior,3,qa,8,4600,tecnologia,tech_avancado
65,41,superior,13,trade,6,5900,comercio,digital_intermediario
66,53,fundamental,28,zelador,2,2500,servicos,tradicional
67,31,superior,7,integration,9,6000,tecnologia,tech_avancado
68,45,pos_graduacao,16,m_a,7,9800,financeiro,digital_intermediario
69,37,superior,11,performance,7,5400,marketing,digital_intermediario
70,49,medio,24,entrega,3,3100,transporte,tradicional
71,26,superior,2,iot,9,5300,tecnologia,tech_avancado
72,40,superior,13,categoria,6,6200,comercio,digital_intermediario
73,52,fundamental,26,coleta,2,2700,servicos,tradicional
74,34,pos_graduacao,9,robotics,10,8400,tecnologia,tech_avancado
75,43,superior,15,merchandising,6,5600,comercio,digital_intermediario
76,29,superior,5,fullstack,9,6100,tecnologia,tech_avancado
77,47,medio,22,operador,3,3200,industria,tradicional
78,32,superior,7,api,9,5700,tecnologia,tech_avancado
79,46,pos_graduacao,17,investimentos,6,9100,financeiro,digital_intermediario
80,38,superior,11,automation,8,6300,tecnologia,tech_avancado
81,54,fundamental,29,jardinagem,2,2600,servicos,tradicional
82,28,superior,4,nlp,10,6600,tecnologia,tech_avancado
83,42,superior,14,franquias,6,6800,comercio,digital_intermediario
84,35,superior,9,pipeline,9,6400,tecnologia,tech_avancado
85,50,medio,25,sindico,3,3400,servicos,tradicional
86,30,pos_graduacao,6,quantum,10,7500,tecnologia,tech_avancado
87,44,superior,15,expansao,6,7400,comercio,digital_intermediario
88,36,superior,10,platform,9,6700,tecnologia,tech_avancado
89,48,medio,23,auxiliar,3,2900,servicos,tradicional
90,27,superior,3,ar_vr,9,5900,tecnologia,tech_avancado
91,41,superior,13,omnichannel,7,6100,comercio,digital_intermediario
92,53,fundamental,27,ascensorista,2,2500,servicos,tradicional
93,33,pos_graduacao,8,edge,10,7900,tecnologia,tech_avancado
94,45,superior,16,export,6,7700,comercio,digital_intermediario
95,31,superior,6,microservices,9,6200,tecnologia,tech_avancado
96,49,medio,24,copeira,2,2700,servicos,tradicional
97,29,superior,5,observability,9,6000,tecnologia,tech_avancado
98,43,pos_graduacao,15,private_equity,7,10500,financeiro,digital_intermediario
99,37,superior,11,sre,10,7100,tecnologia,tech_avancado
100,51,fundamental,26,almoxarife,2,2800,industria,tradicional
